State, License
SD, FU-675
LA, EZP-930
GA, HNY-382
MO, IOE-466
WV, IWH-7338
KY, VN-101
FL, PGW-3499
CT, SZ-347
AR, ST-9938
CA, MUU-0217
MT, CI-859
ME, GO-0219
TX, EFY-237
MN, IFP-8908
NY, XVL-404
UT, JL-571
VA, UP-2194
MN, UD-3884
LA, UQ-2208
AL, KGE-0554
NY, VX-9733
SC, UJ-8617
TN, OP-7230
TN, AR-487
NY, SAT-4364
GA, ICA-2252
IL, HL-004
NH, YY-213
IL, WN-022
ND, KH-5933
SC, IC-455
CA, YJL-8882
OH, KF-958
AZ, JCJ-3929
ND, QAY-730
MT, UR-9108
CA, TU-872
CA, JF-343
WA, MRU-006
VA, CY-0618
NY, SD-0503
IN, HQZ-020
IA, FO-314
WV, CW-622
SD, IF-8787
GA, OJR-057
WV, VR-6216
AR, SH-510
TN, YHA-9665
IL, QZ-777
TX, HHO-7178
ID, CTY-844
WY, SH-696
PA, IB-185
TX, UWU-767
IL, PP-967
NJ, AU-2576
TX, JS-244
IL, ETA-822
CA, GDC-849
IN, HXT-849
TX, YM-4286
NY, PMG-071
WA, RCB-3606
PA, ED-333
NJ, IML-468
KY, QXD-6217
NY, QE-2281
IL, SY-4962
PR, PM-5353
MI, XW-2043
GA, ZV-517
CO, PYU-160
MI, BNV-9467
PA, QJ-8624
TX, KWT-701
KS, AU-5754
CA, AYP-1027
TX, DQY-794
MI, SEK-813
AK, JNN-2763
IN, CI-815
WI, RMO-608
TX, CZJ-5882
OH, BOY-983
MO, EMR-5926
IA, PCQ-035
GA, GV-974
SC, LL-6179
NY, KJ-0831
NJ, FB-2700
AL, SZ-960
DE, IH-800
VA, RFB-638
WV, FIW-440
GA, LJQ-876
IA, LCJ-467
PA, QJ-465
VA, LVF-3612
KY, IBK-9037
WA, LQI-9976
AZ, IYN-2820
MI, KZN-850
MS, LL-2642
PR, UHM-977
FL, EU-439
VA, MSG-569
IL, ZDN-5569
NE, GP-7278
LA, AK-5395
WI, NT-5747
NJ, ZAJ-9196
AL, FWX-5561
MN, KJ-9869
NC, UP-4750
WA, NM-682
IL, NFU-5668
WI, JEV-1573
MO, QDJ-5912
ND, VFM-2901
WV, KQ-2951
IN, GTI-810
IN, SG-0544
WI, KUV-794
WV, WOT-280
WA, TJ-951
CA, BEC-5202
TX, BPE-382
AL, XDN-677
IA, ZPS-2459
NJ, WG-8507
NY, JLG-3716
FL, QFO-307
MI, YGT-331
TX, SHU-742
VT, WO-9356
WA, GD-089
AK, BY-8348
WI, RW-777
TX, XHD-475
PA, MIO-9858
VA, LW-1173
TX, IQ-162
IL, VE-296
AR, RO-061
NM, DWJ-5893
IL, ROH-4826
OH, NP-394
VA, DM-2391
WA, NLA-801
AL, YHF-5263
MN, TOC-4613
KS, ZNM-775
TX, DAO-458
TX, NM-738
TX, OQW-1138
MN, ONS-265
CA, LAI-6127
PA, RKN-4075
NY, KKY-619
ID, RSL-3641
NC, WP-4320
TX, UZN-9551
KY, FVR-844
IA, XZ-804
KS, UWV-3675
MO, AR-8550
NY, JF-252
CA, FL-716
OK, PF-1771
OH, OOU-0519
MA, CB-6923
MI, UM-968
KY, NGY-2707
MD, VJG-3364
DC, TZH-6897
NE, LZ-9102
MA, JC-1125
KY, NGX-781
LA, FQ-130
TN, AY-6131
CO, ZU-875
SC, IFI-5432
IL, DWC-648
PA, NSV-700
MI, OK-641
WV, TOL-5630
CT, CZS-3670
VA, FF-488
TX, BO-624
CT, MS-573
MO, GZ-462
WI, SSV-9120
CA, XR-488
TN, PVO-549
SD, NDY-9017
NC, FN-4829
SD, BVD-968
MO, NI-468
AK, QC-9075
CA, QY-7479
NJ, OJ-084
NE, GS-492
NC, UZ-933
TX, DMM-431
NY, KV-454
VT, LH-3685
MA, HN-761
IL, TEY-474
LA, YKB-395
NH, CTR-605
OH, QA-1614
MO, VO-529
NY, NI-4116
AL, HM-628
VA, PTE-7915
WI, ZL-127
IN, BD-573
MT, FFI-571
VT, KRK-7894
WI, QA-028
TN, FD-3599
AL, BJC-5356
TX, WA-836
AL, VA-2006
PA, AH-083
VA, FC-571
AR, POZ-2973
NE, NC-132
SC, QS-679
IA, EP-248
KY, XO-9652
OH, NPE-0891
MN, GG-230
VA, DQ-221
GA, HG-343
TX, GA-582
GA, TIP-8562
NC, BB-2907
MI, RZ-733
TX, ODY-292
GA, RFY-1189
OK, VN-6665
NC, RV-289
IN, QZ-0694
PA, JLH-191
AR, YDR-290
MI, XOU-901
NY, XN-4767
SD, RMP-3555
VA, ZBG-886
NY, XH-5485
KY, JN-147
AL, MIR-073
FL, ITH-227
AL, EA-447
FL, ME-267
CA, CA-1028
WV, JV-2374
IA, WD-7522
SD, WM-0033
LA, UGJ-570
WA, RA-3081
LA, DX-404
VT, ZPO-772
VT, UX-939
IN, ZE-5611
WA, YLH-9204
NJ, JUN-0206
VT, XA-011
MN, NMK-2786
NV, AD-656
WV, UMM-9254
WV, JQK-7994
MS, TTK-316
MO, HO-690
MI, GT-2731
CO, FET-3287
CO, WL-841
CA, LCD-356
WV, ARJ-993
NC, LM-305
TX, XE-1380
NJ, QV-2824
WV, OEI-1858
TX, XQ-3759
WV, AEW-084
NH, ST-4076
